personnel_id,rank,terrain,consecutive_field_days,duty_hours_5d,night_shifts_5d,leave_denial_ratio,sleep_hrs_5d_avg,self_reported_energy,self_reported_stress,survey_latency_sec,delta_rhr,masking_index,risk_label
PERS_2017,Head Constable,Border Outpost (Thar),74,64.8,1,0.49,4.5,1,7,26.3,9.7,0.19,2
PERS_2018,Sub-Inspector,Peace Station (HQ),52,46.3,0,0.24,7.2,4,1,12.0,5.4,0.17,0
PERS_2019,Constable,Border Outpost (Thar),21,46.4,1,0.28,6.8,4,1,47.4,3.0,0.11,0
PERS_2020,Head Constable,Counter-Insurgency (J&K),27,35.6,1,0.13,7.8,5,1,36.3,1.1,0.01,0
PERS_2021,Constable,Border Outpost (Thar),42,62.1,0,0.26,6.4,3,4,23.8,9.3,0.08,0
PERS_2022,Sub-Inspector,Peace Station (HQ),37,36.5,3,0.14,5.6,5,3,42.4,5.5,0.23,1
PERS_2023,Inspector,Peace Station (HQ),68,60.2,0,0.39,6.5,3,3,15.4,8.1,0.02,1
PERS_2024,Sub-Inspector,Peace Station (HQ),20,66.8,2,0.42,5.0,3,5,81.4,13.0,0.2,1
PERS_2025,Head Constable,High Altitude (Ladakh/Sikkim),16,68.9,1,0.02,5.6,4,3,52.3,9.7,0.0,1
PERS_2026,ASI,Counter-Insurgency (J&K),8,45.7,1,0.24,7.3,5,1,27.2,3.3,0.11,0
PERS_2027,ASI,High Altitude (Ladakh/Sikkim),17,46.2,4,0.14,4.9,4,4,25.4,9.2,0.69,1
PERS_2028,Constable,Dense Forest (Bastar),66,53.9,2,0.19,5.6,3,6,39.6,10.3,0.08,1
PERS_2029,ASI,Counter-Insurgency (J&K),85,65.5,3,0.57,4.6,2,8,20.8,12.5,0.23,2
PERS_2030,Constable,Border Outpost (Thar),89,55.6,2,0.43,5.4,3,9,51.7,11.0,0.05,2
PERS_2031,Head Constable,Peace Station (HQ),35,48.8,2,0.26,4.9,4,3,40.6,9.7,0.68,1
PERS_2032,Constable,Dense Forest (Bastar),53,64.0,4,0.34,4.8,3,6,20.9,15.5,0.17,2
PERS_2033,Constable,Counter-Insurgency (J&K),61,54.5,1,0.03,4.9,3,5,27.2,9.0,0.23,1
PERS_2034,Constable,High Altitude (Ladakh/Sikkim),82,54.7,2,0.5,5.9,3,7,14.4,9.1,0.08,2
PERS_2035,Head Constable,Peace Station (HQ),58,45.0,2,0.29,5.5,4,4,17.6,4.6,0.05,1
PERS_2036,Constable,High Altitude (Ladakh/Sikkim),68,65.1,4,0.06,3.6,2,9,43.5,14.9,0.16,2
PERS_2037,Head Constable,Counter-Insurgency (J&K),89,59.4,1,0.08,6.3,3,3,48.0,8.1,0.11,0
PERS_2038,Constable,Counter-Insurgency (J&K),67,54.6,2,0.55,6.5,4,5,21.2,8.2,0.1,1
PERS_2039,Constable,Dense Forest (Bastar),16,31.0,1,0.37,7.8,5,1,50.9,-0.9,0.05,0
PERS_2040,Head Constable,Border Outpost (Thar),0,57.5,3,0.37,4.9,4,4,120.0,9.4,0.66,0
PERS_2041,ASI,High Altitude (Ladakh/Sikkim),46,41.3,2,0.22,6.4,5,2,36.3,6.6,0.03,0
PERS_2042,Constable,Dense Forest (Bastar),48,57.3,3,0.42,5.9,3,7,45.0,10.9,0.09,2
PERS_2043,Head Constable,Peace Station (HQ),44,44.6,3,0.2,6.6,5,3,40.6,7.5,0.17,0
PERS_2044,Sub-Inspector,Border Outpost (Thar),67,44.0,2,0.17,6.7,4,3,42.0,6.5,0.19,1
PERS_2045,Head Constable,Dense Forest (Bastar),58,63.1,2,0.01,5.9,4,3,19.7,9.6,0.06,1
PERS_2046,Constable,High Altitude (Ladakh/Sikkim),79,56.9,2,0.54,5.3,2,7,17.6,10.4,0.02,1
PERS_2047,Constable,Counter-Insurgency (J&K),33,51.7,2,0.26,6.3,4,4,29.5,9.1,0.04,1
PERS_2048,Sub-Inspector,Peace Station (HQ),104,77.9,2,0.03,3.6,1,8,120.0,15.2,0.04,2
PERS_2049,Constable,High Altitude (Ladakh/Sikkim),17,69.1,1,0.2,5.0,3,3,41.5,9.4,0.63,1
PERS_2050,Sub-Inspector,Border Outpost (Thar),35,49.0,1,0.4,6.3,3,4,26.9,5.4,0.03,0
PERS_2051,Head Constable,Border Outpost (Thar),37,38.6,4,0.31,6.5,5,4,25.4,4.8,0.04,1
PERS_2052,Sub-Inspector,Counter-Insurgency (J&K),57,67.8,1,0.46,5.3,2,5,24.6,11.9,0.02,2
PERS_2053,ASI,Counter-Insurgency (J&K),22,36.8,2,0.36,7.4,5,1,77.9,1.1,0.03,0
PERS_2054,Inspector,Peace Station (HQ),10,53.8,0,0.09,6.3,3,1,83.3,6.3,0.0,0
PERS_2055,Constable,Peace Station (HQ),49,50.2,2,0.08,6.4,3,1,7.3,6.8,0.11,1
PERS_2056,ASI,Counter-Insurgency (J&K),23,51.1,0,0.33,7.2,4,1,43.2,6.2,0.19,0
PERS_2057,Constable,Counter-Insurgency (J&K),42,64.5,2,0.09,3.8,2,5,18.6,12.4,0.11,1
PERS_2058,Head Constable,Border Outpost (Thar),20,42.1,0,0.31,8.0,5,1,25.8,0.2,0.08,0
PERS_2059,Head Constable,Counter-Insurgency (J&K),24,44.3,2,0.63,6.0,4,2,72.9,4.7,0.04,1
PERS_2060,Sub-Inspector,Dense Forest (Bastar),31,58.7,2,0.59,4.7,3,7,14.1,11.7,0.09,1
PERS_2061,Inspector,High Altitude (Ladakh/Sikkim),70,72.9,3,0.06,3.6,1,9,29.7,14.3,0.28,2
PERS_2062,ASI,Counter-Insurgency (J&K),13,74.0,2,0.59,4.2,2,6,6.8,14.3,0.1,2
PERS_2063,Constable,Peace Station (HQ),16,35.1,3,0.06,5.9,5,1,22.3,5.8,0.01,0
PERS_2064,Constable,Dense Forest (Bastar),69,50.7,3,0.55,5.0,3,7,27.3,10.3,0.23,2
PERS_2065,Head Constable,Peace Station (HQ),19,39.6,1,0.1,6.9,5,1,18.6,6.5,0.12,0
PERS_2066,Constable,Dense Forest (Bastar),48,61.3,1,0.17,6.0,3,3,14.5,11.9,0.2,0
PERS_2067,Constable,Counter-Insurgency (J&K),72,55.8,0,0.27,7.2,4,3,38.1,5.9,0.09,0
PERS_2068,Constable,High Altitude (Ladakh/Sikkim),35,60.3,1,0.28,6.8,4,3,34.6,7.1,0.11,0
PERS_2069,Constable,Peace Station (HQ),50,49.0,2,0.21,7.4,4,3,15.1,7.9,0.02,1
PERS_2070,Constable,Dense Forest (Bastar),72,62.2,3,0.57,5.0,2,10,32.6,14.8,0.18,2
PERS_2071,Constable,Border Outpost (Thar),27,48.9,2,0.16,6.0,4,2,35.2,8.0,0.02,0
PERS_2072,Constable,Counter-Insurgency (J&K),64,55.8,3,0.22,5.6,3,6,41.7,10.2,0.05,1
PERS_2073,Constable,High Altitude (Ladakh/Sikkim),54,47.6,1,0.09,5.9,4,3,49.0,4.5,0.03,0
PERS_2074,Inspector,Counter-Insurgency (J&K),70,68.6,1,0.24,5.2,2,5,118.2,11.4,0.04,2
PERS_2075,Constable,Border Outpost (Thar),108,46.2,3,0.2,6.0,2,5,53.8,11.2,0.24,2
PERS_2076,Constable,High Altitude (Ladakh/Sikkim),95,56.4,1,0.07,5.5,1,4,66.2,9.1,0.13,1
PERS_2077,Head Constable,Border Outpost (Thar),21,67.9,3,0.01,5.1,3,5,29.0,11.7,0.12,1
PERS_2078,Constable,Counter-Insurgency (J&K),66,67.4,1,0.08,5.7,2,5,74.9,11.2,0.03,1
PERS_2079,Sub-Inspector,Dense Forest (Bastar),43,43.9,3,0.12,5.7,5,5,31.2,6.6,0.18,0
PERS_2080,ASI,Counter-Insurgency (J&K),22,42.3,3,0.16,6.3,5,1,59.7,5.6,0.01,0
PERS_2081,Constable,Counter-Insurgency (J&K),20,55.1,2,0.11,5.6,4,3,23.0,8.2,0.16,1
PERS_2082,Constable,Counter-Insurgency (J&K),5,55.0,3,0.07,4.2,3,4,24.8,9.5,0.62,1
PERS_2083,Sub-Inspector,Peace Station (HQ),65,66.4,1,0.25,6.1,3,6,15.0,10.6,0.14,1
PERS_2084,Sub-Inspector,Border Outpost (Thar),47,38.6,1,0.12,7.1,4,1,29.1,3.5,0.17,0
PERS_2085,Head Constable,Border Outpost (Thar),30,64.2,1,0.2,5.8,4,4,13.2,6.6,0.07,0
PERS_2086,Head Constable,Border Outpost (Thar),23,41.3,1,0.22,7.4,5,1,15.2,-0.4,0.02,0
PERS_2087,Constable,Peace Station (HQ),108,72.1,2,0.42,3.6,1,10,20.6,16.8,0.04,2
PERS_2088,Inspector,Dense Forest (Bastar),52,37.0,3,0.29,6.2,4,4,52.8,6.0,0.11,0
PERS_2089,Constable,Counter-Insurgency (J&K),78,44.7,0,0.3,6.8,5,3,109.8,5.1,0.04,0
PERS_2090,Sub-Inspector,Dense Forest (Bastar),29,68.1,3,0.05,5.3,2,5,21.4,11.9,0.03,1
PERS_2091,Head Constable,Peace Station (HQ),2,66.0,3,0.16,4.6,4,4,39.2,12.7,0.64,1
PERS_2092,Head Constable,Border Outpost (Thar),66,55.6,2,0.21,5.6,2,3,18.1,8.2,0.0,1
PERS_2093,Head Constable,Counter-Insurgency (J&K),34,48.1,3,0.37,5.4,5,6,47.0,10.1,0.0,2
PERS_2094,Constable,High Altitude (Ladakh/Sikkim),10,48.8,3,0.24,6.6,4,2,17.7,9.7,0.09,0
PERS_2095,Constable,High Altitude (Ladakh/Sikkim),7,52.8,2,0.33,5.4,4,4,38.9,11.2,0.66,1
PERS_2096,Constable,Dense Forest (Bastar),56,58.6,2,0.32,4.9,3,6,55.6,8.3,0.03,1
PERS_2097,Constable,Border Outpost (Thar),44,49.5,2,0.12,5.5,5,4,18.8,9.4,0.1,1
PERS_2098,ASI,High Altitude (Ladakh/Sikkim),52,33.8,1,0.28,7.0,5,1,46.6,5.1,0.02,0
PERS_2099,Constable,Dense Forest (Bastar),31,45.7,1,0.27,6.7,5,2,34.5,3.3,0.06,0
PERS_2100,Constable,Peace Station (HQ),75,39.9,2,0.03,7.0,4,5,28.6,4.4,0.0,1
PERS_2101,Inspector,Dense Forest (Bastar),43,60.0,0,0.69,5.8,4,4,31.1,5.8,0.06,1
PERS_2102,Sub-Inspector,Dense Forest (Bastar),84,60.1,4,0.34,5.4,3,9,59.0,13.8,0.09,2
PERS_2103,Sub-Inspector,Dense Forest (Bastar),18,48.7,2,0.1,6.3,4,2,31.0,8.4,0.02,0
PERS_2104,Inspector,Counter-Insurgency (J&K),44,49.9,1,0.11,5.6,4,3,82.3,2.8,0.02,0
PERS_2105,Constable,Dense Forest (Bastar),41,71.8,1,0.45,4.0,3,7,17.7,10.4,0.23,2
PERS_2106,Constable,Dense Forest (Bastar),22,61.7,1,0.1,5.8,3,1,37.3,7.5,0.14,0
PERS_2107,ASI,Counter-Insurgency (J&K),52,55.3,1,0.13,5.7,3,4,37.1,8.1,0.06,1
PERS_2108,Head Constable,Counter-Insurgency (J&K),10,43.6,0,0.19,6.8,5,1,58.0,2.6,0.21,0
PERS_2109,Constable,Peace Station (HQ),29,63.8,4,0.45,3.9,2,10,23.0,13.7,0.18,2
PERS_2110,ASI,Border Outpost (Thar),47,53.8,1,0.36,5.9,4,3,32.2,5.4,0.02,1
PERS_2111,Constable,High Altitude (Ladakh/Sikkim),17,43.2,2,0.35,6.6,5,2,48.2,3.9,0.06,0
PERS_2112,Constable,High Altitude (Ladakh/Sikkim),38,45.9,0,0.57,7.4,4,1,50.0,3.3,0.21,0
PERS_2113,Head Constable,Dense Forest (Bastar),73,61.9,3,0.23,4.8,3,8,8.5,13.8,0.05,2
PERS_2114,Head Constable,Peace Station (HQ),40,61.5,2,0.01,5.4,3,5,25.6,8.5,0.11,1
PERS_2115,Head Constable,Dense Forest (Bastar),38,58.2,2,0.29,4.9,3,5,60.0,10.0,0.02,1
PERS_2116,Constable,High Altitude (Ladakh/Sikkim),59,60.5,3,0.3,4.7,2,6,13.1,11.1,0.15,1
PERS_2117,Sub-Inspector,Counter-Insurgency (J&K),14,46.4,2,0.37,6.3,4,2,56.4,3.9,0.03,0
PERS_2118,Constable,Border Outpost (Thar),9,43.5,0,0.43,7.3,5,1,91.1,1.8,0.03,0
PERS_2119,Constable,Peace Station (HQ),55,55.0,2,0.04,6.2,3,5,37.0,9.1,0.0,0
PERS_2120,Sub-Inspector,Counter-Insurgency (J&K),55,52.7,1,0.39,6.3,3,3,61.9,6.0,0.01,1
PERS_2121,Inspector,Border Outpost (Thar),40,42.0,2,0.11,5.3,5,2,31.7,6.7,0.64,0
PERS_2122,ASI,Peace Station (HQ),112,58.9,1,0.12,5.6,1,5,18.1,8.4,0.16,2
PERS_2123,ASI,Peace Station (HQ),11,56.0,3,0.38,6.1,3,4,55.9,11.8,0.19,1
PERS_2124,Head Constable,High Altitude (Ladakh/Sikkim),15,45.6,1,0.42,6.3,4,1,28.0,4.5,0.02,0
PERS_2125,Head Constable,Counter-Insurgency (J&K),24,66.3,1,0.37,5.3,5,5,13.6,10.6,0.14,1
PERS_2126,Constable,Peace Station (HQ),79,43.4,4,0.45,4.2,2,9,64.7,10.8,0.22,2
PERS_2127,Constable,Peace Station (HQ),59,45.7,4,0.2,4.7,2,7,13.1,10.9,0.11,2
PERS_2128,Constable,Border Outpost (Thar),123,54.6,4,0.14,4.4,2,10,37.9,14.6,0.02,2
PERS_2129,Constable,High Altitude (Ladakh/Sikkim),19,58.1,2,0.32,6.7,4,2,52.0,8.4,0.14,0
PERS_2130,Head Constable,Dense Forest (Bastar),36,53.7,0,0.08,6.7,3,1,27.6,5.3,0.04,0
PERS_2131,Head Constable,High Altitude (Ladakh/Sikkim),67,45.8,3,0.37,5.7,4,6,61.3,8.9,0.16,1
PERS_2132,Constable,Dense Forest (Bastar),10,30.3,1,0.11,7.4,5,1,19.6,0.9,0.01,0
PERS_2133,Constable,Counter-Insurgency (J&K),44,40.5,1,0.14,6.2,5,1,28.7,3.3,0.01,0
PERS_2134,Head Constable,Counter-Insurgency (J&K),74,37.9,1,0.26,7.8,5,2,18.0,4.5,0.1,0
PERS_2135,Constable,Peace Station (HQ),97,66.4,2,0.46,4.0,1,9,39.4,13.5,0.28,2
PERS_2136,ASI,Counter-Insurgency (J&K),33,40.7,0,0.17,7.4,5,1,35.9,3.0,0.22,0
PERS_2137,Head Constable,Peace Station (HQ),35,58.3,3,0.45,3.8,3,7,56.9,9.4,0.24,2
PERS_2138,Head Constable,High Altitude (Ladakh/Sikkim),5,53.9,0,0.47,6.3,5,2,36.9,5.4,0.01,0
PERS_2139,Head Constable,Counter-Insurgency (J&K),21,62.0,0,0.02,4.8,4,3,16.7,8.4,0.62,0
PERS_2140,ASI,High Altitude (Ladakh/Sikkim),30,43.9,2,0.45,5.9,4,4,38.7,7.2,0.1,0
PERS_2141,Constable,High Altitude (Ladakh/Sikkim),31,55.1,1,0.07,6.7,5,3,9.4,7.5,0.13,0
PERS_2142,Head Constable,Counter-Insurgency (J&K),21,51.3,4,0.08,4.1,3,3,46.6,11.3,0.72,1
PERS_2143,Head Constable,High Altitude (Ladakh/Sikkim),42,53.4,4,0.04,4.5,2,5,37.9,10.6,0.03,2
PERS_2144,Constable,Counter-Insurgency (J&K),43,52.1,1,0.19,6.8,5,1,18.3,5.7,0.03,0
PERS_2145,Sub-Inspector,Counter-Insurgency (J&K),30,59.4,4,0.34,5.8,4,7,61.0,9.8,0.02,1
PERS_2146,ASI,Counter-Insurgency (J&K),36,58.9,2,0.44,5.6,2,4,65.2,8.4,0.07,1
PERS_2147,Head Constable,Dense Forest (Bastar),41,52.1,1,0.32,6.0,3,4,81.9,7.4,0.02,1
PERS_2148,ASI,High Altitude (Ladakh/Sikkim),57,49.1,2,0.31,5.9,3,4,6.3,5.5,0.15,1
PERS_2149,ASI,Border Outpost (Thar),28,45.1,3,0.13,5.4,4,3,16.7,8.4,0.62,1
PERS_2150,Head Constable,Counter-Insurgency (J&K),39,52.3,1,0.48,6.2,5,4,75.6,6.5,0.21,0
PERS_2151,ASI,High Altitude (Ladakh/Sikkim),9,51.1,1,0.16,8.2,5,1,37.3,2.2,0.02,0
PERS_2152,Head Constable,Peace Station (HQ),40,51.1,1,0.55,7.0,4,2,29.9,5.3,0.01,0
PERS_2153,Head Constable,Counter-Insurgency (J&K),128,47.9,1,0.54,6.9,3,7,44.3,7.2,0.17,1
PERS_2154,Head Constable,Counter-Insurgency (J&K),87,53.7,1,0.41,6.4,3,5,71.8,9.0,0.12,1
PERS_2155,ASI,Border Outpost (Thar),36,46.3,2,0.28,6.3,5,2,47.8,6.9,0.06,0
PERS_2156,Constable,Dense Forest (Bastar),52,53.4,3,0.5,5.4,3,6,59.7,8.8,0.13,1
PERS_2157,Sub-Inspector,Dense Forest (Bastar),21,75.5,1,0.33,5.9,3,4,17.1,9.6,0.04,1
PERS_2158,Sub-Inspector,Counter-Insurgency (J&K),29,55.2,1,0.21,6.2,5,2,76.8,7.1,0.12,0
PERS_2159,Constable,High Altitude (Ladakh/Sikkim),21,62.7,3,0.51,4.7,3,5,86.2,13.4,0.08,2
PERS_2160,ASI,Peace Station (HQ),47,45.9,1,0.85,6.1,4,5,14.8,5.4,0.03,1
PERS_2161,Constable,Peace Station (HQ),65,54.7,3,0.31,5.4,3,5,32.0,10.6,0.08,1
PERS_2162,Constable,High Altitude (Ladakh/Sikkim),45,64.8,4,0.31,3.9,2,8,65.0,12.2,0.12,2
PERS_2163,Head Constable,Counter-Insurgency (J&K),45,36.7,4,0.34,5.8,3,4,13.9,7.2,0.09,1
PERS_2164,Constable,Peace Station (HQ),20,47.7,2,0.14,5.6,4,4,11.6,5.4,0.03,1
PERS_2165,ASI,Dense Forest (Bastar),9,55.1,1,0.45,6.2,5,3,49.9,8.2,0.12,0
PERS_2166,ASI,High Altitude (Ladakh/Sikkim),52,52.5,0,0.18,6.4,4,1,12.8,3.6,0.08,0
PERS_2167,Head Constable,Border Outpost (Thar),85,50.8,2,0.07,5.2,3,7,120.0,7.4,0.02,1
PERS_2168,Constable,Counter-Insurgency (J&K),31,46.0,4,0.78,6.1,4,5,42.6,9.7,0.2,2
PERS_2169,Constable,High Altitude (Ladakh/Sikkim),8,52.0,0,0.22,5.9,5,1,48.3,5.1,0.02,0
PERS_2170,Head Constable,Peace Station (HQ),29,35.2,0,0.17,7.3,5,1,24.9,1.9,0.01,0
PERS_2171,Inspector,Counter-Insurgency (J&K),33,52.5,3,0.18,5.6,4,4,31.5,9.3,0.04,1
PERS_2172,Head Constable,Dense Forest (Bastar),73,62.6,0,0.74,6.7,3,5,27.7,8.8,0.05,1
PERS_2173,Constable,Counter-Insurgency (J&K),62,50.6,0,0.32,6.8,4,2,16.9,5.8,0.17,0
PERS_2174,Head Constable,Counter-Insurgency (J&K),39,36.3,3,0.04,6.3,4,1,9.5,6.4,0.11,1
PERS_2175,Head Constable,Dense Forest (Bastar),85,51.4,0,0.56,6.0,2,6,46.2,8.0,0.01,2
PERS_2176,ASI,Dense Forest (Bastar),37,50.5,0,0.22,6.5,4,1,57.3,3.6,0.01,0
PERS_2177,Constable,Counter-Insurgency (J&K),32,40.4,2,0.06,5.6,3,2,15.3,4.1,0.22,0
PERS_2178,ASI,Dense Forest (Bastar),18,50.1,2,0.43,5.9,3,4,25.0,7.5,0.05,1
PERS_2179,Head Constable,High Altitude (Ladakh/Sikkim),20,51.7,1,0.27,6.6,4,1,13.7,5.2,0.14,0
PERS_2180,Inspector,Dense Forest (Bastar),24,62.4,1,0.18,5.9,3,2,60.5,7.1,0.1,1
PERS_2181,Constable,Dense Forest (Bastar),36,50.0,2,0.04,4.9,3,3,37.1,10.3,0.65,1
PERS_2182,Head Constable,Counter-Insurgency (J&K),28,51.9,2,0.16,6.3,5,3,43.0,10.3,0.19,1
PERS_2183,Sub-Inspector,High Altitude (Ladakh/Sikkim),79,50.4,0,0.2,7.6,4,4,37.6,1.3,0.13,1
PERS_2184,Constable,Border Outpost (Thar),37,46.9,0,0.43,6.9,4,1,29.2,0.5,0.0,0
PERS_2185,Sub-Inspector,Border Outpost (Thar),34,58.4,2,0.1,6.4,4,1,27.4,9.1,0.18,0
PERS_2186,Head Constable,Peace Station (HQ),48,50.5,3,0.35,5.2,3,6,40.9,5.7,0.02,1
PERS_2187,Constable,Dense Forest (Bastar),53,61.6,2,0.2,4.4,2,6,36.4,12.9,0.05,2
PERS_2188,Constable,Dense Forest (Bastar),14,48.9,2,0.1,6.0,5,3,15.2,8.4,0.06,0
PERS_2189,Head Constable,High Altitude (Ladakh/Sikkim),31,39.7,3,0.38,6.0,5,5,26.6,6.4,0.1,0
PERS_2190,Constable,Border Outpost (Thar),23,43.4,0,0.23,7.9,4,2,40.3,2.3,0.06,0
PERS_2191,Head Constable,Peace Station (HQ),33,75.5,3,0.03,3.4,2,7,29.5,14.4,0.09,2
PERS_2192,Constable,High Altitude (Ladakh/Sikkim),20,49.0,3,0.2,5.8,4,4,23.1,6.9,0.07,0
PERS_2193,Head Constable,Dense Forest (Bastar),70,38.8,2,0.14,5.6,4,4,25.2,5.5,0.07,1
PERS_2194,Constable,Border Outpost (Thar),29,39.5,1,0.05,6.8,5,1,30.3,4.7,0.1,0
PERS_2195,Sub-Inspector,Peace Station (HQ),45,45.4,2,0.45,6.0,4,4,86.3,7.5,0.01,1
PERS_2196,Inspector,Counter-Insurgency (J&K),26,41.7,2,0.49,6.2,4,2,23.2,6.2,0.29,0
PERS_2197,Inspector,Border Outpost (Thar),20,39.0,1,0.19,6.2,5,1,29.4,6.2,0.0,0
PERS_2198,Head Constable,Peace Station (HQ),37,66.3,2,0.07,4.7,2,5,60.4,11.0,0.16,1
PERS_2199,Constable,High Altitude (Ladakh/Sikkim),37,58.3,3,0.33,5.1,3,6,7.8,11.6,0.04,2
PERS_2200,ASI,Counter-Insurgency (J&K),48,50.8,3,0.26,6.1,3,5,10.6,10.1,0.01,1
PERS_2201,Constable,Peace Station (HQ),38,45.9,0,0.06,6.7,4,1,44.8,2.5,0.09,0
PERS_2202,Constable,Peace Station (HQ),16,48.0,1,0.3,6.0,5,1,17.2,4.5,0.03,0
PERS_2203,Constable,Dense Forest (Bastar),10,66.8,2,0.55,6.4,3,4,80.3,9.1,0.09,1
PERS_2204,Head Constable,Border Outpost (Thar),21,41.4,3,0.13,4.8,4,5,42.1,6.1,0.09,1
PERS_2205,ASI,Dense Forest (Bastar),24,34.6,2,0.21,6.5,5,1,16.3,4.0,0.1,0
PERS_2206,Head Constable,Counter-Insurgency (J&K),6,55.3,2,0.51,5.0,3,4,55.1,8.0,0.63,1
PERS_2207,Constable,Peace Station (HQ),75,65.6,0,0.22,5.0,2,6,21.5,7.9,0.02,2
PERS_2208,Constable,Dense Forest (Bastar),40,66.5,2,0.14,5.0,3,4,54.7,11.5,0.76,1
PERS_2209,Inspector,Border Outpost (Thar),16,46.1,4,0.25,6.0,5,4,115.3,8.6,0.12,1
PERS_2210,Constable,Counter-Insurgency (J&K),64,51.0,2,0.39,6.6,4,4,18.2,7.5,0.04,1
PERS_2211,Head Constable,High Altitude (Ladakh/Sikkim),63,74.4,3,0.21,4.4,2,7,111.7,15.5,0.26,2
PERS_2212,Constable,Dense Forest (Bastar),45,58.5,2,0.66,6.2,3,5,62.2,9.8,0.06,1
PERS_2213,ASI,Counter-Insurgency (J&K),83,55.4,3,0.17,5.1,2,8,17.4,9.5,0.03,2
PERS_2214,Head Constable,High Altitude (Ladakh/Sikkim),36,56.6,1,0.12,6.1,4,3,77.3,6.2,0.1,0
PERS_2215,Constable,Dense Forest (Bastar),24,46.0,1,0.4,6.8,5,1,43.2,1.0,0.01,0
PERS_2216,Constable,Counter-Insurgency (J&K),65,57.5,1,0.13,6.8,4,3,96.4,11.2,0.09,1
PERS_2217,Head Constable,Counter-Insurgency (J&K),37,54.5,2,0.16,5.5,3,4,44.2,6.0,0.11,1
PERS_2218,Head Constable,Dense Forest (Bastar),63,62.6,1,0.22,6.4,3,6,42.7,11.5,0.0,1
PERS_2219,Constable,Counter-Insurgency (J&K),48,43.0,2,0.45,7.4,5,3,38.0,5.8,0.2,0
PERS_2220,Inspector,Peace Station (HQ),57,57.3,3,0.31,5.3,3,6,71.0,8.8,0.16,2
PERS_2221,Constable,Dense Forest (Bastar),53,41.6,2,0.26,7.0,5,2,10.5,6.8,0.04,0
PERS_2222,Constable,Counter-Insurgency (J&K),93,76.1,1,0.22,4.2,1,6,28.7,14.1,0.13,2
PERS_2223,Sub-Inspector,High Altitude (Ladakh/Sikkim),24,46.2,3,0.43,6.1,4,3,12.1,9.2,0.04,1
PERS_2224,Constable,High Altitude (Ladakh/Sikkim),32,34.7,2,0.55,7.3,5,2,97.3,4.4,0.07,1
PERS_2225,Head Constable,Peace Station (HQ),48,80.6,2,0.5,4.3,1,8,54.9,16.4,0.19,2
PERS_2226,Constable,Dense Forest (Bastar),68,49.6,3,0.19,6.1,3,4,16.6,8.8,0.08,1
PERS_2227,Constable,Counter-Insurgency (J&K),57,54.6,4,0.58,4.9,3,8,30.7,12.1,0.04,1
PERS_2228,Inspector,Counter-Insurgency (J&K),48,35.8,2,0.15,6.7,5,1,64.5,6.5,0.1,0
PERS_2229,Constable,High Altitude (Ladakh/Sikkim),32,50.7,3,0.16,5.4,4,4,49.8,7.9,0.82,1
PERS_2230,Sub-Inspector,Peace Station (HQ),48,69.5,2,0.34,4.8,2,7,38.2,12.7,0.05,1
PERS_2231,Constable,High Altitude (Ladakh/Sikkim),13,56.3,2,0.13,5.6,4,4,9.1,7.0,0.07,0
PERS_2232,Constable,High Altitude (Ladakh/Sikkim),26,33.6,2,0.19,6.8,5,1,68.8,4.4,0.06,0
PERS_2233,Constable,Peace Station (HQ),73,47.7,2,0.55,5.9,2,5,78.8,7.9,0.06,1
PERS_2234,Head Constable,Dense Forest (Bastar),72,64.4,1,0.45,6.0,2,5,37.2,10.1,0.04,1
PERS_2235,Constable,Counter-Insurgency (J&K),65,60.9,2,0.17,5.4,3,6,35.1,12.6,0.0,1
PERS_2236,ASI,Dense Forest (Bastar),81,51.2,1,0.45,5.7,3,5,21.9,7.7,0.1,1
PERS_2237,Head Constable,Border Outpost (Thar),52,57.2,2,0.31,5.9,4,4,24.5,9.6,0.09,1
PERS_2238,Inspector,Border Outpost (Thar),68,42.8,2,0.04,5.9,3,3,40.6,8.6,0.03,0
PERS_2239,Constable,Border Outpost (Thar),97,44.6,3,0.14,7.0,4,4,12.4,7.9,0.06,1
PERS_2240,ASI,Peace Station (HQ),31,26.2,1,0.18,7.3,5,1,11.6,0.3,0.04,0
PERS_2241,ASI,High Altitude (Ladakh/Sikkim),17,59.0,3,0.31,6.2,4,3,49.1,7.3,0.04,1
PERS_2242,ASI,Dense Forest (Bastar),18,48.7,3,0.58,5.9,5,5,34.4,7.5,0.13,1
PERS_2243,ASI,Counter-Insurgency (J&K),67,54.7,2,0.29,5.5,4,5,64.4,11.2,0.03,1
PERS_2244,ASI,Border Outpost (Thar),151,32.4,3,0.43,6.1,3,7,14.2,7.6,0.15,1
PERS_2245,Head Constable,Dense Forest (Bastar),73,54.8,1,0.34,6.5,3,4,31.7,7.3,0.2,2
PERS_2246,Constable,Border Outpost (Thar),21,55.6,4,0.3,4.5,4,5,66.6,10.4,0.21,1
PERS_2247,Constable,Border Outpost (Thar),26,29.7,2,0.31,6.8,5,1,48.2,0.7,0.06,0
PERS_2248,Sub-Inspector,Counter-Insurgency (J&K),57,54.1,1,0.38,5.8,3,5,21.5,6.9,0.01,1
PERS_2249,Head Constable,Peace Station (HQ),20,49.3,1,0.05,6.5,5,1,33.5,4.8,0.12,0
PERS_2250,ASI,High Altitude (Ladakh/Sikkim),43,47.6,2,0.23,6.2,4,3,27.9,9.7,0.06,0
